6,N199346503,48.0920788,11.6442332,Mercure Hotel München Neuperlach Süd
168,N201346354,48.1422900,11.4753894,Westbad
168,N201383952,48.1318940,11.6093140,Haidenauplatz
168,N201383963,48.1298640,11.6222149,Schlüsselbergstraße
168,N201387894,48.1266395,11.6386340,Mutschellestraße
168,N201387899,48.1257150,11.6446495,Kreillerstraße
168,N201387909,48.1219780,11.6422590,St.-Veit-Straße
168,N201678136,48.1521269,11.6130318,Effnerplatz
168,N201741326,48.1356602,11.5984748,Max-Weber-Platz
46,N201747881,48.1488500,11.4420546,Genossenschaftsbank eG München
34,N201747887,48.1484052,11.4418755,Panda-Apotheke
46,N201758601,48.1496209,11.4352377,Stadtsparkasse München
34,N201758605,48.1493887,11.4350290,Westkreuz-Apotheke
11,N201758613,48.1491303,11.4354679,Stadtbibliothek München (Neuaubing)
20,N201784796,48.1516828,11.4386289,Städtische Kindertagesstätte am Ravensburger Ring
168,N202778016,48.0922102,11.5627022,Authariplatz
168,N202778019,48.0960853,11.5636202,Tiroler Platz
168,N202778024,48.1006556,11.5665482,Südtiroler Straße
168,N202832670,48.1615150,11.5635995,Nordbad
168,N202879541,48.1540281,11.5541768,Hochschule München (Lothstraße)
168,N202879550,48.1598887,11.5469401,Leonrodplatz
168,N202880062,48.1665576,11.5372733,Olympiapark West
168,N202880079,48.1695877,11.5332287,Borstei
168,N202880094,48.1728403,11.5277448,Hanauer Straße
168,N202912613,48.1033118,11.5967781,Schwanseestraße
168,N203210007,48.1333258,11.5832489,Isartor
168,N206155331,48.0902489,11.5568348,Theodolindenplatz
29,N206268452,48.1117247,11.6320021,Pallas Athene
29,N206268453,48.1114218,11.6316133,Da Francesco
162,N206338251,48.1220401,11.5488867,AGIP
166,N207583981,48.1404283,11.5669662,Karlsplatz (Stachus)
166,N207588044,48.1338556,11.5410510,Schwanthalerhöhe
166,N207594090,48.1357205,11.5521165,Theresienwiese
166,N207594097,48.1397046,11.5881650,Lehel
166,N207598530,48.1434646,11.6156920,Böhmerwaldplatz
166,N207598531,48.1483306,11.6166190,Richard-Strauss-Straße
28,N209147341,48.1510191,11.4614436,Cantina
26,N209151105,48.1491251,11.4607614,Burger King
34,N209171906,48.1487302,11.4602226,Bahnhofapotheke
29,N211212107,48.0943417,11.6312156,Taverna Enplo
34,N211247818,48.1144826,11.5929323,Werinherapotheke
21,N211255188,48.1135340,11.5932484,Abendgymnasium
167,N211557411,48.1515099,11.5644523,Theresienstraße
144,N211874136,48.1485410,11.5602178,Neues Rottmann
29,N211874140,48.1497890,11.5597523,Grill & Grace
29,N211874152,48.1495286,11.5607585,Kaito
96,N211874154,48.1481110,11.5622424,Kiosk
167,N213519696,48.1277234,11.6052044,München Ost
29,N219688125,48.1497066,11.5608937,Drunken Cow
25,N219688132,48.1498914,11.5602390,Happy Fildjan
52,N221616058,48.2105019,11.6339992,Islamisches Zentrum München
46,N221769716,48.1930959,11.6165748,Sparkasse
14,N224152175,48.1296050,11.5580203,Post
105,N224263518,48.1974908,11.6262211,Aldi (Süd)
167,N237620737,48.1501148,11.4617216,München-Pasing
167,N237680533,48.1412644,11.5602443,München Hauptbahnhof (tief)
11,N238059668,48.1170824,11.5379417,Stadtbibliothek Sendling
12,N238121195,48.1744121,11.5713640,Doppelrutschen-Spielplatz
12,N238121208,48.1737254,11.5684913,Krokodil-Spielpatz
74,N238410495,48.1827619,11.5791912,Puglia
77,N238410499,48.1827792,11.5790308,Metzgerei D & H
25,N238410507,48.1819043,11.5725685,Pichler's Backhaus und Cafe
105,N238410512,48.1829348,11.5732321,Feneberg
34,N238410530,48.1819549,11.5732837,Walpurgis-Apotheke
46,N239974118,48.1834554,11.5794787,Sparkasse
25,N239974120,48.1862375,11.5730045,Vinzenzmurr
94,N239974124,48.1866620,11.5729888,Fernseh-Service
105,N241779303,48.1544336,11.4698608,Tengelmann
34,N241779304,48.1545242,11.4701234,Sibelius-Apotheke
29,N243518450,48.1785656,11.4069567,Deutsche Eiche
29,N243666968,48.1532641,11.5609351,Takumi
46,N243666972,48.1643048,11.5648843,Commerzbank
162,N243666983,48.1612159,11.5566209,Shell
162,N243669182,48.1601063,11.5117289,Shell
74,N243670806,48.1558103,11.4721380,Müllritter
162,N243717560,48.1026803,11.6254195,OMV
46,N243727145,48.1481822,11.4215101,Genossenschaftsbank München
